model,accuracy,f1_score,roc_auc
Decision Tree,0.8722222222222222,0.8795811518324608,0.902962962962963
Random Forest,0.8666666666666667,0.8775510204081632,0.9219135802469136
XGBoost,0.85,0.8615384615384616,0.9133333333333333
Tuned Random Forest,0.8666666666666667,0.8775510204081632,0.9196913580246914
Simple Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
Medium Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
Complex Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
50 Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
1 Decision Tree,0.8722222222222222,0.8795811518324608,0.902962962962963
Random Forest,0.8666666666666667,0.8775510204081632,0.9219135802469136
XGBoost,0.85,0.8615384615384616,0.9133333333333333
Tuned Random Forest,0.8666666666666667,0.8775510204081632,0.9196913580246914
50 Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
XGBoost 200 träd,0.85,0.8615384615384616,0.9133333333333333
Tuned Random Forest,0.8666666666666667,0.8775510204081632,0.9196913580246914
50 Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
XGBoost - Försiktigt straff på 200 träd,0.8722222222222222,0.882051282051282,0.9203086419753087
Tuned Random Forest,0.8666666666666667,0.8775510204081632,0.9196913580246914
50 Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
XGBoost L1 - Välj ut viktigaste variabler 200 träd,0.8722222222222222,0.882051282051282,0.9201234567901235
Tuned Random Forest,0.8666666666666667,0.8775510204081632,0.9196913580246914
50 Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
XGBoost Djupare komplexitet och fler 400 träd,0.8555555555555555,0.865979381443299,0.9106790123456789
Tuned Random Forest,0.8666666666666667,0.8775510204081632,0.9196913580246914
50 Random Forest,0.8722222222222222,0.882051282051282,0.9214197530864198
200 Random Forest,0.8666666666666667,0.8775510204081632,0.9215432098765431
500 Random Forest,0.8611111111111112,0.8717948717948718,0.9205555555555556
KNN,0.8166666666666667,0.8290155440414507,0.8723456790123457
